,0
0,0.5301724076271057
1,0.5301724076271057
2,0.5301724076271057
3,0.5301724076271057
4,0.5301724076271057
5,0.5301724076271057
6,0.5301724076271057
7,0.5301724076271057
8,0.5301724076271057
9,0.5301724076271057
10,0.5301724076271057
11,0.5301724076271057
12,0.5301724076271057
13,0.5301724076271057
14,0.5301724076271057
15,0.5301724076271057
16,0.5301724076271057
17,0.5301724076271057
18,0.5301724076271057
19,0.5301724076271057
20,0.5301724076271057
21,0.5301724076271057
22,0.5301724076271057
23,0.5301724076271057
24,0.5301724076271057
25,0.5301724076271057
26,0.5301724076271057
27,0.5301724076271057
28,0.5301724076271057
29,0.5301724076271057
30,0.5301724076271057
31,0.5301724076271057
32,0.5301724076271057
33,0.5301724076271057
34,0.5301724076271057
35,0.5301724076271057
36,0.5301724076271057
37,0.5301724076271057
38,0.5301724076271057
39,0.5301724076271057
40,0.5301724076271057
41,0.5301724076271057
42,0.5301724076271057
43,0.5301724076271057
44,0.5301724076271057
45,0.5301724076271057
46,0.5301724076271057
47,0.5301724076271057
48,0.5301724076271057
49,0.5301724076271057
50,0.5301724076271057
51,0.5301724076271057
52,0.5301724076271057
53,0.5301724076271057
54,0.5301724076271057
55,0.5301724076271057
56,0.5301724076271057
57,0.30603447556495667
58,0.25431033968925476
59,0.25431033968925476
60,0.25431033968925476
61,0.25431033968925476
62,0.25431033968925476
63,0.25431033968925476
64,0.2931034564971924
65,0.3448275923728943
66,0.4181034564971924
67,0.5301724076271057
68,0.5301724076271057
69,0.5301724076271057
70,0.5301724076271057
71,0.5301724076271057
72,0.27586206793785095
73,0.25431033968925476
74,0.25431033968925476
75,0.3362068831920624
76,0.39224138855934143
77,0.5301724076271057
78,0.5301724076271057
79,0.5301724076271057
80,0.5301724076271057
81,0.5301724076271057
82,0.5301724076271057
83,0.5301724076271057
84,0.5301724076271057
85,0.25431033968925476
86,0.4137931168079376
87,0.4396551847457886
88,0.2801724076271057
89,0.25431033968925476
90,0.38793104887008667
91,0.5129310488700867
92,0.5301724076271057
93,0.26293104887008667
94,0.25431033968925476
95,0.25431033968925476
96,0.25431033968925476
97,0.25431033968925476
