,loss,accuracy
0,18.489213943481445,0.36000001430511475
1,18.3205509185791,0.36000001430511475
2,18.181320190429688,0.36000001430511475
3,18.052024841308594,0.36000001430511475
4,17.92493438720703,0.36000001430511475
5,17.853408813476562,0.47999998927116394
6,17.782922744750977,0.5400000214576721
7,17.72359848022461,0.6200000047683716
8,17.715822219848633,0.6600000262260437
9,17.638681411743164,0.7400000095367432
10,17.584949493408203,0.7799999713897705
11,17.542434692382812,0.800000011920929
12,17.494037628173828,0.8399999737739563
13,17.469993591308594,0.8600000143051147
14,17.383560180664062,0.9599999785423279
