,0,1,2,3,4,5,6,7,8,9,10,11
0,0.3900375962257385,,,,,,,,,,,
1,0.4887218177318573,,,,,,,,,,,
2,0.46052631735801697,,,,,,,,,,,
3,0.40977442264556885,,,,,,,,,,,
4,0.41447368264198303,,,,,,,,,,,
5,0.3900375962257385,,,,,,,,,,,
6,0.3721804618835449,,,,,,,,,,,
7,0.39849624037742615,,,,,,,,,,,
8,0.38721805810928345,,,,,,,,,,,
9,0.39191728830337524,,,,,,,,,,,
10,0.39191728830337524,,,,,,,,,,,
11,0.3571428656578064,,,,,,,,,,,
12,0.3599624037742615,,,,,,,,,,,
13,0.34492480754852295,,,,,,,,,,,
14,0.3505639135837555,,,,,,,,,,,
15,0.4013157784938812,,,,,,,,,,,
16,0.3571428656578064,,,,,,,,,,,
17,0.31766918301582336,,,,,,,,,,,
18,0.3590225577354431,,,,,,,,,,,
19,0.3778195381164551,,,,,,,,,,,
20,0.3364661633968353,,,,,,,,,,,
21,0.32894736528396606,,,,,,,,,,,
22,0.3392857015132904,,,,,,,,,,,
23,0.3703007400035858,,,,,,,,,,,
24,0.34304511547088623,,,,,,,,,,,
0,,0.3203050494194031,,,,,,,,,,
1,,0.2735939025878906,,,,,,,,,,
2,,0.2697807550430298,,,,,,,,,,
3,,0.2793136239051819,,,,,,,,,,
4,,0.29551953077316284,,,,,,,,,,
5,,0.36987608671188354,,,,,,,,,,
6,,0.34795042872428894,,,,,,,,,,
7,,0.32793137431144714,,,,,,,,,,
8,,0.3565300405025482,,,,,,,,,,
9,,0.34127742052078247,,,,,,,,,,
10,,0.31744518876075745,,,,,,,,,,
11,,0.331744521856308,,,,,,,,,,
12,,0.3403241038322449,,,,,,,,,,
13,,0.3326978087425232,,,,,,,,,,
14,,0.3336510956287384,,,,,,,,,,
15,,0.3450905680656433,,,,,,,,,,
16,,0.35843661427497864,,,,,,,,,,
17,,0.3441372811794281,,,,,,,,,,
18,,0.352716863155365,,,,,,,,,,
19,,0.3307912349700928,,,,,,,,,,
20,,0.3450905680656433,,,,,,,,,,
21,,0.3126787543296814,,,,,,,,,,
22,,0.34127742052078247,,,,,,,,,,
23,,0.355576753616333,,,,,,,,,,
24,,0.33746424317359924,,,,,,,,,,
0,,,0.3767705261707306,,,,,,,,,
1,,,0.38338056206703186,,,,,,,,,
2,,,0.33238905668258667,,,,,,,,,
3,,,0.38338056206703186,,,,,,,,,
